question,ground_truth_answer,generated_answer,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Apa konsep yang diusung oleh perumahan The Royal Avenue?,The Royal Avenue adalah perumahan komersil premium yang berlokasi di jantung kota Lumajang dengan konsep hunian mewah 2 lantai berdesain modern dan elegan.,"Konsep yang diusung oleh perumahan The Royal Avenue adalah ""Hunian mewah 2 lantai dengan desain modern dan elegan."" Ini berarti bahwa properti ini dirancang untuk mencapai tingkat kenyamanan tinggi untuk keluarga atau individu yang ingin memiliki hunian di rumah dengan tingkat desain yang lebih tinggi dibandingkan dengan rumah biasa.",Apa konsep yang diusung oleh perumahan The Royal Avenue?,['The Royal Avenue adalah perumahan komersil premium yang berlokasi di jantung kota Lumajang dengan konsep hunian mewah 2 lantai berdesain modern dan elegan.'],"Konsep yang diusung oleh perumahan The Royal Avenue adalah ""Hunian mewah 2 lantai dengan desain modern dan elegan."" Ini berarti bahwa properti ini dirancang untuk mencapai tingkat kenyamanan tinggi untuk keluarga atau individu yang ingin memiliki hunian di rumah dengan tingkat desain yang lebih tinggi dibandingkan dengan rumah biasa.",The Royal Avenue adalah perumahan komersil premium yang berlokasi di jantung kota Lumajang dengan konsep hunian mewah 2 lantai berdesain modern dan elegan.,,0.0,,1.0
Apa fasilitas paling unggul yang ditawarkan di setiap unit The Royal Avenue?,Fasilitas unggulan di The Royal Avenue adalah setiap rumah dilengkapi dengan kolam renang pribadi.,"Fasilitas Unggulan di setiap unit The Royal Avenue termasuk:
- Kolam renang pribadi
- Garasi untuk 1 mobil 
- Dapur tersedia

Selain itu, Anda juga dapat menemukan informasi lainnya yang relevan di konteks ini.",Apa fasilitas paling unggul yang ditawarkan di setiap unit The Royal Avenue?,['Fasilitas unggulan di The Royal Avenue adalah setiap rumah dilengkapi dengan kolam renang pribadi.'],"Fasilitas Unggulan di setiap unit The Royal Avenue termasuk:
- Kolam renang pribadi
- Garasi untuk 1 mobil 
- Dapur tersedia

Selain itu, Anda juga dapat menemukan informasi lainnya yang relevan di konteks ini.",Fasilitas unggulan di The Royal Avenue adalah setiap rumah dilengkapi dengan kolam renang pribadi.,,,0.0,0.5
Berapa harga satu unit rumah di The Royal Avenue dan ada promo apa?,"Harga per unitnya adalah Rp 300.000.000 dengan promo spesial ""Gratis Semua Biaya"".","Harga satu unit rumah di The Royal Avenue adalah Rp 300.000.000. Untuk lebih banyak informasi seputar promo yang tersedia, silakan hubungi tim marketing PT Bumir Nirwana Estate.",Berapa harga satu unit rumah di The Royal Avenue dan ada promo apa?,"['Harga per unitnya adalah Rp 300.000.000 dengan promo spesial ""Gratis Semua Biaya"".']","Harga satu unit rumah di The Royal Avenue adalah Rp 300.000.000. Untuk lebih banyak informasi seputar promo yang tersedia, silakan hubungi tim marketing PT Bumir Nirwana Estate.","Harga per unitnya adalah Rp 300.000.000 dengan promo spesial ""Gratis Semua Biaya"".",,0.0,0.0,1.0
Apa yang dimaksud dengan Uang Tanda Jadi (UTJ) dan apakah bisa dikembalikan jika saya batal membeli?,UTJ adalah biaya untuk mengamankan unit pilihan Anda. Biaya ini tidak dapat dikembalikan (hangus) jika terjadi pembatalan sepihak dari konsumen.,"Uang Tanda Jadi (UTJ) adalah biaya yang dikenakan untuk menjamin lokasi properti yang diinginkan. Biaya ini tergantung pada jenis properti, yaitu rumah subsidi atau ruko. Anda tidak dapat dikembalikan UTM jika menghabiskannya karena pembatalan sepihak oleh konsumen.

Apabila Anda batal membeli properti, Anda juga tidak dapat mengambil kembali biaya tersebut.",Apa yang dimaksud dengan Uang Tanda Jadi (UTJ) dan apakah bisa dikembalikan jika saya batal membeli?,['UTJ adalah biaya untuk mengamankan unit pilihan Anda. Biaya ini tidak dapat dikembalikan (hangus) jika terjadi pembatalan sepihak dari konsumen.'],"Uang Tanda Jadi (UTJ) adalah biaya yang dikenakan untuk menjamin lokasi properti yang diinginkan. Biaya ini tergantung pada jenis properti, yaitu rumah subsidi atau ruko. Anda tidak dapat dikembalikan UTM jika menghabiskannya karena pembatalan sepihak oleh konsumen.

Apabila Anda batal membeli properti, Anda juga tidak dapat mengambil kembali biaya tersebut.",UTJ adalah biaya untuk mengamankan unit pilihan Anda. Biaya ini tidak dapat dikembalikan (hangus) jika terjadi pembatalan sepihak dari konsumen.,,0.7141955575617684,,1.0
"Bagaimana jika pengajuan KPR saya ditolak oleh bank, apakah Uang Muka (DP) saya bisa kembali?","Ya, Uang Muka (DP) dapat dikembalikan jika pengajuan KPR Anda ditolak oleh bank karena masalah BI Checking.","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Apa lagi bantuan yang bisa saya berikan?","Bagaimana jika pengajuan KPR saya ditolak oleh bank, apakah Uang Muka (DP) saya bisa kembali?","['Ya, Uang Muka (DP) dapat dikembalikan jika pengajuan KPR Anda ditolak oleh bank karena masalah BI Checking.']","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Apa lagi bantuan yang bisa saya berikan?","Ya, Uang Muka (DP) dapat dikembalikan jika pengajuan KPR Anda ditolak oleh bank karena masalah BI Checking.",,,0.9999999999,1.0
Apa saja biaya yang sudah termasuk dalam harga jual rumah?,"Harga jual sudah termasuk biaya perizinan IMB/PBG, instalasi listrik, dan sumber air dari sumur pasak.","Harga dan skema pembayaran Rumah Subsidi (Margojoyo) termasuk:
- Uang Tanda Jadi (UTJ): Rp 1.000.000
- Uang Muka (DP): 1% atau Rp 1.660.000",Apa saja biaya yang sudah termasuk dalam harga jual rumah?,"['Harga jual sudah termasuk biaya perizinan IMB/PBG, instalasi listrik, dan sumber air dari sumur pasak.']","Harga dan skema pembayaran Rumah Subsidi (Margojoyo) termasuk:
- Uang Tanda Jadi (UTJ): Rp 1.000.000
- Uang Muka (DP): 1% atau Rp 1.660.000","Harga jual sudah termasuk biaya perizinan IMB/PBG, instalasi listrik, dan sumber air dari sumur pasak.",,,,
Dokumen apa saja yang umumnya diperlukan untuk mengajukan KPR?,"Persyaratan dokumen umum meliputi fotokopi KTP, KK, NPWP, Pas Foto, Surat Nikah (jika sudah menikah), Slip Gaji 3 bulan terakhir, dan Surat Keterangan Kerja.","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Silakan jelaskan lagi atau berikan detail lebih lanjut tentang dokumen yang dimaksudkan.",Dokumen apa saja yang umumnya diperlukan untuk mengajukan KPR?,"['Persyaratan dokumen umum meliputi fotokopi KTP, KK, NPWP, Pas Foto, Surat Nikah (jika sudah menikah), Slip Gaji 3 bulan terakhir, dan Surat Keterangan Kerja.']","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Silakan jelaskan lagi atau berikan detail lebih lanjut tentang dokumen yang dimaksudkan.","Persyaratan dokumen umum meliputi fotokopi KTP, KK, NPWP, Pas Foto, Surat Nikah (jika sudah menikah), Slip Gaji 3 bulan terakhir, dan Surat Keterangan Kerja.",,,,
Apakah ada dokumen tambahan yang dibutuhkan jika saya seorang PNS atau wiraswasta?,"Ya. Untuk PNS, wajib melampirkan SK Terakhir. Untuk wiraswasta, wajib melampirkan SIUP/TDP atau SKU.","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Saya hanya mampu memberikan informasi berdasarkan konteks di atas.",Apakah ada dokumen tambahan yang dibutuhkan jika saya seorang PNS atau wiraswasta?,"['Ya. Untuk PNS, wajib melampirkan SK Terakhir. Untuk wiraswasta, wajib melampirkan SIUP/TDP atau SKU.']","Maaf, saya tidak dapat menemukan informasi yang Anda cari. Saya hanya mampu memberikan informasi berdasarkan konteks di atas.","Ya. Untuk PNS, wajib melampirkan SK Terakhir. Untuk wiraswasta, wajib melampirkan SIUP/TDP atau SKU.",,,,
"Saya sudah bosan mengontrak rumah setiap tahun, apa solusi yang ditawarkan?",Kami menawarkan solusi memiliki rumah sendiri untuk mendapatkan ketenangan dan stabilitas. Anda bisa mempertimbangkan rumah subsidi kami yang angsurannya seringkali lebih ringan dari biaya sewa.,"Solusi yang ditawarkan adalah memiliki rumah sendiri untuk ketenangan dan stabilitas. Ini menunjukkan bahwa perumahan Bumi Nirwana Sumberejo memiliki promo tanpa DP (DP 0%) yang mungkin dapat memberi Anda keuntungan dalam hal menyewa atau membelinya. Selain itu, juga ada properti lainnya di Margojoyo Residence dengan spesifikasi rumah yang cocok untuk pertukaran. Anda bisa meninjau dan mempertimbangkan pilihan mana yang lebih sesuai untuk kebutuhan anda.","Saya sudah bosan mengontrak rumah setiap tahun, apa solusi yang ditawarkan?",['Kami menawarkan solusi memiliki rumah sendiri untuk mendapatkan ketenangan dan stabilitas. Anda bisa mempertimbangkan rumah subsidi kami yang angsurannya seringkali lebih ringan dari biaya sewa.'],"Solusi yang ditawarkan adalah memiliki rumah sendiri untuk ketenangan dan stabilitas. Ini menunjukkan bahwa perumahan Bumi Nirwana Sumberejo memiliki promo tanpa DP (DP 0%) yang mungkin dapat memberi Anda keuntungan dalam hal menyewa atau membelinya. Selain itu, juga ada properti lainnya di Margojoyo Residence dengan spesifikasi rumah yang cocok untuk pertukaran. Anda bisa meninjau dan mempertimbangkan pilihan mana yang lebih sesuai untuk kebutuhan anda.",Kami menawarkan solusi memiliki rumah sendiri untuk mendapatkan ketenangan dan stabilitas. Anda bisa mempertimbangkan rumah subsidi kami yang angsurannya seringkali lebih ringan dari biaya sewa.,,0.0,0.9999999999,
Saya khawatir proses KPR itu rumit. Apakah tim Anda bisa membantu saya?,"Tentu saja. Anda tidak perlu khawatir, karena tim kami siap membantu Anda di setiap langkahnya, mulai dari awal proses hingga serah terima kunci.","Ya, Tim Kami Bisa Membantu Anda Mengenai Proses Pembelian Rumah dengan Biaya Tidak Tinggi. Kami memiliki Kelebihan dalam Menyajikan Informasi yang Dapat Memberi Anda Kesempatan Untuk Melihat dan Mengidentifikasi Rumah-Salahnya Sebelum Mengambil Risiko.",Saya khawatir proses KPR itu rumit. Apakah tim Anda bisa membantu saya?,"['Tentu saja. Anda tidak perlu khawatir, karena tim kami siap membantu Anda di setiap langkahnya, mulai dari awal proses hingga serah terima kunci.']","Ya, Tim Kami Bisa Membantu Anda Mengenai Proses Pembelian Rumah dengan Biaya Tidak Tinggi. Kami memiliki Kelebihan dalam Menyajikan Informasi yang Dapat Memberi Anda Kesempatan Untuk Melihat dan Mengidentifikasi Rumah-Salahnya Sebelum Mengambil Risiko.","Tentu saja. Anda tidak perlu khawatir, karena tim kami siap membantu Anda di setiap langkahnya, mulai dari awal proses hingga serah terima kunci.",,,0.9999999999,
