question,ground_truth_answer,generated_answer,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Apa konsep yang diusung oleh perumahan The Royal Avenue?,The Royal Avenue adalah perumahan komersil premium yang berlokasi di jantung kota Lumajang dengan konsep hunian mewah 2 lantai berdesain modern dan elegan.,"Maaf, saya tidak dapat menemukan informasi yang Anda cari. Saya sarankan untuk mencari informasi lebih lanjut tentang perumahan Bumi Nirwana Sumberejo dan mungkin juga pertimbangkan untuk bertanya kepada rekomendasi profesional atau bank Anda mengenai solusi terbaik ini. Selamat mencoba!",Apa konsep yang diusung oleh perumahan The Royal Avenue?,['The Royal Avenue adalah perumahan komersil premium yang berlokasi di jantung kota Lumajang dengan konsep hunian mewah 2 lantai berdesain modern dan elegan.'],"Maaf, saya tidak dapat menemukan informasi yang Anda cari. Saya sarankan untuk mencari informasi lebih lanjut tentang perumahan Bumi Nirwana Sumberejo dan mungkin juga pertimbangkan untuk bertanya kepada rekomendasi profesional atau bank Anda mengenai solusi terbaik ini. Selamat mencoba!",The Royal Avenue adalah perumahan komersil premium yang berlokasi di jantung kota Lumajang dengan konsep hunian mewah 2 lantai berdesain modern dan elegan.,,,,
Apa fasilitas paling unggul yang ditawarkan di setiap unit The Royal Avenue?,Fasilitas unggulan di The Royal Avenue adalah setiap rumah dilengkapi dengan kolam renang pribadi.,Harga Rumah di Bumi Nirwana Sumberejo yaitu Rp 166.000.000.,Apa fasilitas paling unggul yang ditawarkan di setiap unit The Royal Avenue?,['Fasilitas unggulan di The Royal Avenue adalah setiap rumah dilengkapi dengan kolam renang pribadi.'],Harga Rumah di Bumi Nirwana Sumberejo yaitu Rp 166.000.000.,Fasilitas unggulan di The Royal Avenue adalah setiap rumah dilengkapi dengan kolam renang pribadi.,,,,
Berapa harga satu unit rumah di The Royal Avenue dan ada promo apa?,"Harga per unitnya adalah Rp 300.000.000 dengan promo spesial ""Gratis Semua Biaya"".",TIMEOUT_ERROR,Berapa harga satu unit rumah di The Royal Avenue dan ada promo apa?,"['Harga per unitnya adalah Rp 300.000.000 dengan promo spesial ""Gratis Semua Biaya"".']",TIMEOUT_ERROR,"Harga per unitnya adalah Rp 300.000.000 dengan promo spesial ""Gratis Semua Biaya"".",,,,
Apa yang dimaksud dengan Uang Tanda Jadi (UTJ) dan apakah bisa dikembalikan jika saya batal membeli?,UTJ adalah biaya untuk mengamankan unit pilihan Anda. Biaya ini tidak dapat dikembalikan (hangus) jika terjadi pembatalan sepihak dari konsumen.,"Ruangan yang ada di dalam rumah di Bumi Nirwana Sumberejo adalah:
- Jumlah Lantai: 1
- Jumlah Kamar Tidur: 2",Apa yang dimaksud dengan Uang Tanda Jadi (UTJ) dan apakah bisa dikembalikan jika saya batal membeli?,['UTJ adalah biaya untuk mengamankan unit pilihan Anda. Biaya ini tidak dapat dikembalikan (hangus) jika terjadi pembatalan sepihak dari konsumen.'],"Ruangan yang ada di dalam rumah di Bumi Nirwana Sumberejo adalah:
- Jumlah Lantai: 1
- Jumlah Kamar Tidur: 2",UTJ adalah biaya untuk mengamankan unit pilihan Anda. Biaya ini tidak dapat dikembalikan (hangus) jika terjadi pembatalan sepihak dari konsumen.,,,,
"Bagaimana jika pengajuan KPR saya ditolak oleh bank, apakah Uang Muka (DP) saya bisa kembali?","Ya, Uang Muka (DP) dapat dikembalikan jika pengajuan KPR Anda ditolak oleh bank karena masalah BI Checking.","Konsep yang diusung oleh perumahan The Royal Avenue adalah ""Hunian mewah 2 lantai dengan desain modern dan elegan"". Ini menunjukkan bahwa mereka memperlihatkan kesabaran dan kemampuan untuk menciptakan peningkatan tingkat kualitas hidup bagi para pelanggan.","Bagaimana jika pengajuan KPR saya ditolak oleh bank, apakah Uang Muka (DP) saya bisa kembali?","['Ya, Uang Muka (DP) dapat dikembalikan jika pengajuan KPR Anda ditolak oleh bank karena masalah BI Checking.']","Konsep yang diusung oleh perumahan The Royal Avenue adalah ""Hunian mewah 2 lantai dengan desain modern dan elegan"". Ini menunjukkan bahwa mereka memperlihatkan kesabaran dan kemampuan untuk menciptakan peningkatan tingkat kualitas hidup bagi para pelanggan.","Ya, Uang Muka (DP) dapat dikembalikan jika pengajuan KPR Anda ditolak oleh bank karena masalah BI Checking.",,,,
Apa saja biaya yang sudah termasuk dalam harga jual rumah?,"Harga jual sudah termasuk biaya perizinan IMB/PBG, instalasi listrik, dan sumber air dari sumur pasak.",TIMEOUT_ERROR,Apa saja biaya yang sudah termasuk dalam harga jual rumah?,"['Harga jual sudah termasuk biaya perizinan IMB/PBG, instalasi listrik, dan sumber air dari sumur pasak.']",TIMEOUT_ERROR,"Harga jual sudah termasuk biaya perizinan IMB/PBG, instalasi listrik, dan sumber air dari sumur pasak.",,,,
Dokumen apa saja yang umumnya diperlukan untuk mengajukan KPR?,"Persyaratan dokumen umum meliputi fotokopi KTP, KK, NPWP, Pas Foto, Surat Nikah (jika sudah menikah), Slip Gaji 3 bulan terakhir, dan Surat Keterangan Kerja.",RECONNECT_FAILED,Dokumen apa saja yang umumnya diperlukan untuk mengajukan KPR?,"['Persyaratan dokumen umum meliputi fotokopi KTP, KK, NPWP, Pas Foto, Surat Nikah (jika sudah menikah), Slip Gaji 3 bulan terakhir, dan Surat Keterangan Kerja.']",RECONNECT_FAILED,"Persyaratan dokumen umum meliputi fotokopi KTP, KK, NPWP, Pas Foto, Surat Nikah (jika sudah menikah), Slip Gaji 3 bulan terakhir, dan Surat Keterangan Kerja.",,,,
Apakah ada dokumen tambahan yang dibutuhkan jika saya seorang PNS atau wiraswasta?,"Ya. Untuk PNS, wajib melampirkan SK Terakhir. Untuk wiraswasta, wajib melampirkan SIUP/TDP atau SKU.",RECONNECT_FAILED,Apakah ada dokumen tambahan yang dibutuhkan jika saya seorang PNS atau wiraswasta?,"['Ya. Untuk PNS, wajib melampirkan SK Terakhir. Untuk wiraswasta, wajib melampirkan SIUP/TDP atau SKU.']",RECONNECT_FAILED,"Ya. Untuk PNS, wajib melampirkan SK Terakhir. Untuk wiraswasta, wajib melampirkan SIUP/TDP atau SKU.",,,,
"Saya sudah bosan mengontrak rumah setiap tahun, apa solusi yang ditawarkan?",Kami menawarkan solusi memiliki rumah sendiri untuk mendapatkan ketenangan dan stabilitas. Anda bisa mempertimbangkan rumah subsidi kami yang angsurannya seringkali lebih ringan dari biaya sewa.,RECONNECT_FAILED,"Saya sudah bosan mengontrak rumah setiap tahun, apa solusi yang ditawarkan?",['Kami menawarkan solusi memiliki rumah sendiri untuk mendapatkan ketenangan dan stabilitas. Anda bisa mempertimbangkan rumah subsidi kami yang angsurannya seringkali lebih ringan dari biaya sewa.'],RECONNECT_FAILED,Kami menawarkan solusi memiliki rumah sendiri untuk mendapatkan ketenangan dan stabilitas. Anda bisa mempertimbangkan rumah subsidi kami yang angsurannya seringkali lebih ringan dari biaya sewa.,,,,
Saya khawatir proses KPR itu rumit. Apakah tim Anda bisa membantu saya?,"Tentu saja. Anda tidak perlu khawatir, karena tim kami siap membantu Anda di setiap langkahnya, mulai dari awal proses hingga serah terima kunci.",RECONNECT_FAILED,Saya khawatir proses KPR itu rumit. Apakah tim Anda bisa membantu saya?,"['Tentu saja. Anda tidak perlu khawatir, karena tim kami siap membantu Anda di setiap langkahnya, mulai dari awal proses hingga serah terima kunci.']",RECONNECT_FAILED,"Tentu saja. Anda tidak perlu khawatir, karena tim kami siap membantu Anda di setiap langkahnya, mulai dari awal proses hingga serah terima kunci.",,,,
